 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     30.93      1.02      0.27      0.67      0.22      1.78      1.26      0.58
     25.23      3.99      0.39      0.72      0.09      1.02      1.25      0.57
     38.08      8.16      0.20      0.62      0.26      1.78      1.27      0.53
     34.28      2.31      0.36      1.09      0.13      1.82      1.29      0.54
     35.13      1.16      0.29      0.63      0.16      1.78      1.21      0.57
     38.43      3.81      0.30      1.04      0.10      1.43      1.06      0.53
     38.91      5.00      0.30      1.06      0.23      1.48      1.18      0.56
     37.14      7.51      0.25      0.65      0.21      1.12      1.20      0.53
     29.39      6.66      0.26      0.66      0.11      1.33      1.23      0.56
     31.78      1.08      0.31      0.65      0.23      1.10      1.09      0.58
     38.97      8.03      0.24      0.84      0.15      1.32      1.25      0.59
     36.06      8.02      0.37      0.72      0.09      1.73      1.22      0.54
     33.13      5.69      0.21      0.87      0.13      1.16      1.09      0.54
     28.15      4.29      0.39      1.04      0.24      1.88      1.28      0.55
     31.97      1.83      0.38      0.63      0.15      1.97      1.18      0.60
     30.92      5.53      0.28      0.68      0.25      1.37      1.19      0.58
     34.74      1.06      0.31      1.08      0.13      1.71      1.19      0.54
     36.80      7.07      0.33      0.64      0.07      1.43      1.08      0.55
     28.40      6.30      0.26      0.95      0.17      1.24      1.21      0.54
     35.22      8.86      0.26      0.61      0.29      1.89      1.30      0.58
     39.02      4.08      0.31      0.80      0.21      1.76      1.09      0.54
     39.01      5.48      0.39      0.65      0.27      1.77      1.06      0.59
     30.72      1.70      0.37      0.71      0.25      1.09      1.13      0.58
     35.61      8.74      0.39      0.73      0.28      1.77      1.07      0.58
     27.43      2.04      0.37      1.02      0.17      1.58      1.25      0.56
     26.05      2.52      0.38      0.83      0.18      1.30      1.28      0.56
     29.16      4.40      0.25      1.10      0.22      1.20      1.14      0.56
     26.35      3.62      0.33      0.80      0.30      1.49      1.10      0.53
     26.78      6.65      0.22      0.91      0.22      1.80      1.23      0.53
     31.28      5.48      0.23      0.84      0.23      1.12      1.09      0.56
     28.40      7.50      0.40      0.66      0.16      1.53      1.27      0.53
     39.41      1.09      0.21      0.74      0.20      1.61      1.28      0.60
     39.87      8.49      0.24      0.80      0.07      1.38      1.12      0.60
     37.11      7.54      0.21      1.10      0.08      1.79      1.05      0.58
     28.96      3.90      0.36      0.61      0.12      1.55      1.27      0.60
     39.98      3.32      0.26      0.69      0.21      1.87      1.28      0.54
     36.43      2.72      0.35      0.65      0.12      1.82      1.11      0.55
     27.97      1.89      0.31      1.04      0.22      1.85      1.23      0.60
     25.85      8.88      0.34      0.74      0.13      1.94      1.21      0.60
     25.03      7.38      0.32      0.69      0.09      1.99      1.06      0.54
     31.53      6.12      0.32      1.05      0.15      1.25      1.26      0.59
     30.38      6.12      0.28      0.68      0.12      1.44      1.14      0.57
     35.69      7.29      0.30      1.10      0.25      1.99      1.29      0.58
     26.84      1.74      0.34      1.05      0.08      1.10      1.07      0.55
     38.26      7.32      0.39      1.06      0.22      1.13      1.16      0.56
     38.81      4.08      0.27      0.85      0.28      1.09      1.10      0.58
     37.29      4.83      0.36      0.66      0.25      1.20      1.12      0.60
     34.96      6.70      0.26      0.86      0.15      1.05      1.16      0.56
     35.60      3.37      0.24      0.64      0.11      1.37      1.16      0.54
     35.74      5.45      0.23      0.89      0.10      1.15      1.22      0.53
     36.57      8.90      0.34      0.72      0.05      1.28      1.06      0.60
     25.99      8.69      0.32      1.01      0.14      1.80      1.10      0.55
     32.11      5.89      0.34      0.85      0.29      1.41      1.10      0.57
     27.08      1.75      0.25      0.89      0.17      1.37      1.27      0.58
     32.00      2.81      0.31      0.78      0.07      1.92      1.20      0.54
     32.93      3.95      0.37      1.09      0.07      1.47      1.18      0.57
     36.23      4.42      0.23      0.73      0.06      1.86      1.06      0.56
     26.16      8.20      0.39      0.92      0.13      1.92      1.26      0.58
     27.71      1.12      0.27      0.71      0.20      1.40      1.25      0.57
     36.05      5.52      0.23      0.94      0.16      1.95      1.10      0.54
     38.70      7.32      0.40      0.70      0.24      1.96      1.13      0.59
     27.15      5.31      0.33      0.76      0.29      1.49      1.20      0.55
     35.07      1.69      0.38      0.70      0.05      1.84      1.06      0.55
     33.06      4.17      0.30      0.73      0.27      1.07      1.21      0.56
     38.23      2.07      0.33      0.75      0.13      1.95      1.14      0.57
     36.44      3.21      0.25      0.68      0.11      1.72      1.09      0.57
     32.59      6.97      0.24      0.64      0.26      1.72      1.05      0.59
     27.54      2.19      0.26      0.84      0.23      1.18      1.17      0.57
     27.16      4.64      0.27      0.94      0.18      1.40      1.25      0.60
     30.18      2.21      0.27      0.81      0.06      1.62      1.26      0.54
     38.32      6.55      0.35      1.10      0.25      1.88      1.16      0.54
     35.33      2.25      0.39      1.01      0.26      1.95      1.22      0.59
     27.86      1.33      0.37      0.80      0.16      1.64      1.14      0.56
     25.37      5.28      0.40      0.87      0.09      1.86      1.20      0.55
     33.52      6.66      0.26      0.68      0.12      1.04      1.20      0.53
     25.53      8.82      0.26      0.78      0.08      1.12      1.28      0.56
     25.96      3.08      0.37      1.00      0.23      1.47      1.13      0.54
     39.46      8.86      0.39      0.82      0.20      1.35      1.16      0.58
     39.21      1.36      0.22      0.85      0.10      1.12      1.12      0.56
     36.57      8.07      0.25      0.63      0.06      1.51      1.10      0.54
     28.66      5.06      0.31      0.81      0.26      1.05      1.13      0.54
     26.18      8.97      0.21      1.10      0.13      1.75      1.11      0.58
     36.89      8.43      0.23      1.05      0.19      1.42      1.26      0.54
     25.73      4.47      0.26      0.75      0.27      1.68      1.05      0.53
     25.64      4.59      0.33      0.93      0.14      1.90      1.12      0.54
     39.18      4.24      0.30      0.95      0.24      1.88      1.14      0.55
     34.33      6.84      0.26      0.92      0.06      1.89      1.27      0.60
     34.28      8.52      0.32      1.06      0.23      1.22      1.16      0.58
     31.48      3.57      0.30      0.63      0.21      1.94      1.18      0.54
     35.40      1.46      0.32      0.93      0.08      1.60      1.16      0.55
     37.43      4.70      0.21      0.70      0.10      1.84      1.10      0.53
     29.56      5.77      0.21      0.98      0.23      1.68      1.26      0.59
     33.96      2.11      0.33      1.02      0.05      1.26      1.23      0.57
     36.89      2.60      0.37      0.69      0.18      1.70      1.27      0.56
     34.33      3.64      0.21      0.97      0.19      1.42      1.18      0.57
     26.11      6.52      0.35      1.09      0.24      1.74      1.28      0.57
     36.65      5.41      0.31      0.94      0.22      1.70      1.08      0.59
     38.45      1.86      0.31      0.96      0.06      1.37      1.22      0.56
     38.37      4.32      0.26      1.10      0.29      1.95      1.13      0.55
     30.09      8.75      0.28      0.65      0.08      1.01      1.27      0.54
     31.78      5.73      0.26      0.69      0.14      1.57      1.27      0.59
     32.35      3.09      0.35      1.09      0.07      1.54      1.22      0.54
     36.00      5.16      0.30      0.78      0.30      1.24      1.16      0.58
     39.06      1.08      0.36      1.00      0.13      1.52      1.15      0.55
     25.11      6.09      0.33      0.83      0.29      1.76      1.28      0.55
     37.95      3.16      0.37      0.75      0.25      1.15      1.10      0.56
     38.42      5.47      0.27      0.75      0.17      1.89      1.10      0.57
     39.26      4.83      0.31      0.71      0.13      1.51      1.23      0.54
     39.24      4.37      0.28      0.70      0.30      1.92      1.20      0.59
     28.39      3.09      0.34      0.89      0.21      1.35      1.16      0.55
     29.40      3.99      0.28      1.01      0.09      1.30      1.19      0.53
     32.97      7.37      0.35      0.67      0.25      1.33      1.15      0.57
     30.22      8.82      0.39      0.61      0.16      1.37      1.28      0.53
     32.01      4.89      0.23      0.74      0.18      1.45      1.11      0.58
     31.45      6.58      0.31      1.00      0.06      1.42      1.14      0.54
     27.91      7.31      0.24      0.75      0.07      1.44      1.08      0.55
     26.62      8.41      0.33      1.05      0.06      1.67      1.27      0.56
     39.81      6.13      0.25      0.65      0.17      1.33      1.22      0.57
     33.58      4.95      0.32      0.95      0.06      1.42      1.08      0.56
     25.84      8.87      0.33      0.96      0.16      1.08      1.18      0.56
     32.38      2.71      0.30      0.97      0.16      1.06      1.14      0.59
     25.21      2.49      0.35      0.92      0.09      1.06      1.28      0.53
     29.35      5.61      0.35      0.93      0.07      1.09      1.22      0.55
     25.58      2.37      0.31      0.79      0.29      1.63      1.15      0.57
     32.97      8.57      0.23      0.91      0.27      1.35      1.13      0.55
     37.16      7.74      0.36      0.81      0.11      1.72      1.26      0.56
     26.58      5.41      0.34      1.03      0.07      1.85      1.18      0.56
     27.17      1.36      0.32      0.76      0.27      1.87      1.29      0.59
     30.04      5.33      0.33      0.64      0.27      1.14      1.15      0.59
     25.90      3.09      0.34      0.91      0.07      1.69      1.13      0.57
     36.82      1.73      0.28      0.70      0.15      1.53      1.17      0.57
     30.53      7.17      0.25      1.00      0.14      1.89      1.30      0.53
     38.42      8.17      0.35      0.94      0.29      1.11      1.21      0.54
     39.44      2.04      0.30      1.06      0.21      1.11      1.12      0.57
     36.25      2.23      0.30      0.84      0.29      1.52      1.10      0.56
     33.98      1.58      0.26      0.92      0.17      1.52      1.28      0.57
     25.42      3.39      0.40      0.74      0.07      1.54      1.09      0.53
     32.09      6.52      0.27      0.87      0.24      1.32      1.29      0.58
     30.30      5.51      0.20      0.65      0.22      1.09      1.29      0.54
     34.34      2.51      0.30      1.10      0.24      1.47      1.23      0.58
     36.34      1.01      0.23      0.92      0.26      1.07      1.18      0.56
     33.44      5.35      0.28      0.82      0.26      1.28      1.29      0.53
     28.98      7.65      0.35      0.81      0.18      1.23      1.13      0.54
     25.68      3.17      0.24      0.72      0.20      1.85      1.13      0.55
     36.25      2.87      0.32      1.08      0.20      1.64      1.09      0.57
     28.15      4.04      0.32      0.87      0.25      1.85      1.29      0.54
     27.60      2.25      0.31      0.89      0.08      1.38      1.15      0.59
     35.33      7.57      0.23      0.60      0.19      1.58      1.27      0.59
     29.48      7.31      0.36      0.80      0.10      1.06      1.28      0.58
     26.99      1.29      0.32      0.84      0.08      1.48      1.26      0.53
     31.91      3.64      0.31      0.94      0.11      1.43      1.29      0.57
     34.59      6.21      0.34      0.88      0.26      1.95      1.27      0.57
     38.63      3.92      0.35      1.04      0.29      1.63      1.10      0.57
     39.30      8.38      0.25      1.02      0.21      1.16      1.18      0.60
     39.78      7.02      0.33      0.62      0.17      1.93      1.08      0.56
     36.22      1.39      0.29      0.81      0.06      1.72      1.08      0.59
     30.56      6.73      0.34      0.96      0.18      1.60      1.26      0.54
     25.32      7.97      0.35      0.82      0.12      1.99      1.18      0.54
     35.23      7.50      0.22      1.06      0.18      1.30      1.13      0.54
     37.07      4.97      0.28      0.92      0.16      1.78      1.26      0.58
     35.74      8.04      0.36      1.07      0.25      1.12      1.27      0.55
     32.00      4.90      0.32      0.66      0.06      1.75      1.13      0.58
     26.89      8.92      0.35      0.62      0.21      1.28      1.12      0.53
     33.23      8.27      0.39      0.73      0.26      1.06      1.28      0.54
     27.81      7.22      0.30      0.97      0.12      1.72      1.10      0.55
     34.61      7.16      0.37      0.79      0.07      1.47      1.05      0.60
     30.68      6.92      0.37      0.66      0.08      1.31      1.12      0.58
     34.50      7.15      0.30      1.06      0.07      1.83      1.23      0.54
     31.74      7.09      0.33      0.96      0.27      1.35      1.19      0.57
     32.65      8.95      0.22      0.85      0.09      1.54      1.22      0.57
     27.42      5.28      0.26      0.76      0.11      1.74      1.16      0.60
     38.44      3.52      0.20      0.97      0.26      1.15      1.25      0.55
     31.92      6.29      0.20      1.05      0.09      1.82      1.15      0.55
     30.48      5.47      0.30      0.94      0.26      1.56      1.25      0.57
     35.81      5.22      0.31      0.86      0.08      1.34      1.07      0.58
     37.98      6.60      0.28      0.81      0.26      1.67      1.17      0.58
     33.00      3.98      0.40      1.08      0.09      1.58      1.16      0.55
     32.02      5.06      0.21      0.61      0.09      1.26      1.22      0.54
     39.49      5.41      0.20      0.65      0.14      1.45      1.21      0.57
     36.10      7.70      0.34      0.92      0.27      1.62      1.12      0.57
     30.28      7.43      0.27      0.63      0.05      1.04      1.18      0.56
     39.48      3.15      0.32      0.73      0.19      1.82      1.15      0.55
     39.35      4.16      0.23      0.79      0.11      1.69      1.07      0.60
     25.92      2.85      0.28      1.00      0.24      1.86      1.05      0.58
     35.95      6.35      0.39      0.82      0.18      1.65      1.17      0.60
     32.34      4.90      0.39      0.73      0.22      1.31      1.09      0.59
     29.42      6.15      0.37      1.03      0.15      1.14      1.24      0.56
     34.40      1.30      0.23      1.06      0.12      1.09      1.23      0.56
     34.25      2.84      0.35      1.02      0.13      1.94      1.19      0.53
     27.04      2.37      0.39      0.69      0.26      1.45      1.07      0.56
     38.23      5.79      0.38      1.04      0.05      1.61      1.09      0.60
     27.04      6.28      0.36      1.04      0.19      1.47      1.11      0.54
     38.08      1.18      0.37      0.67      0.24      1.94      1.18      0.56
     34.06      3.77      0.31      0.93      0.27      1.47      1.20      0.57
     38.24      2.40      0.24      0.78      0.06      1.01      1.29      0.54
     27.33      6.16      0.21      0.93      0.18      1.75      1.23      0.55
     27.34      4.42      0.26      0.82      0.28      1.61      1.25      0.58
     26.72      7.92      0.32      0.66      0.16      1.25      1.29      0.59
     25.50      4.63      0.39      0.98      0.26      1.49      1.17      0.54
     38.41      1.69      0.28      0.75      0.09      1.35      1.22      0.58
     29.50      7.77      0.36      1.05      0.14      1.37      1.27      0.56
     32.88      2.45      0.22      0.61      0.09      1.17      1.13      0.59
     36.83      8.05      0.39      0.89      0.12      1.72      1.12      0.54
     37.70      5.22      0.26      0.63      0.09      1.32      1.08      0.56
     29.09      3.28      0.34      0.71      0.21      1.71      1.26      0.56
     36.83      3.18      0.38      0.95      0.15      1.48      1.14      0.56
     30.56      5.98      0.36      0.79      0.22      1.64      1.09      0.57
     25.64      2.58      0.30      0.60      0.18      1.14      1.26      0.60
     35.30      1.24      0.38      0.65      0.09      1.13      1.16      0.56
     28.31      4.44      0.39      0.76      0.26      1.62      1.19      0.58
     26.54      7.98      0.23      1.05      0.24      1.37      1.13      0.53
     32.96      8.77      0.29      0.90      0.17      1.73      1.21      0.56
     33.27      6.71      0.35      0.60      0.15      1.12      1.07      0.54
     27.64      3.07      0.32      0.93      0.14      1.50      1.28      0.57
     39.13      1.02      0.36      0.94      0.07      1.16      1.14      0.54
     25.65      4.66      0.40      0.62      0.28      1.85      1.06      0.59
     39.32      5.66      0.32      0.74      0.19      1.92      1.14      0.54
     38.46      6.29      0.20      0.99      0.13      1.43      1.12      0.54
     26.22      4.52      0.38      0.80      0.27      1.75      1.16      0.57
     31.27      6.78      0.37      0.72      0.10      1.04      1.15      0.53
     34.62      5.39      0.27      0.93      0.30      1.20      1.13      0.56
     34.01      7.59      0.34      0.81      0.19      1.45      1.19      0.59
     36.78      4.04      0.36      0.67      0.23      1.12      1.08      0.59
     39.12      5.96      0.25      0.60      0.15      1.29      1.13      0.55
     25.28      1.76      0.32      0.97      0.08      1.95      1.17      0.58
     26.09      5.22      0.23      0.66      0.23      1.69      1.15      0.59
     37.40      5.42      0.32      0.69      0.08      1.43      1.16      0.59
     37.58      5.15      0.26      0.64      0.14      1.56      1.17      0.58
     26.48      7.75      0.39      0.80      0.14      1.38      1.09      0.56
     27.22      2.51      0.36      0.90      0.18      1.77      1.24      0.54
     30.38      1.66      0.36      0.94      0.26      1.42      1.27      0.54
     36.39      2.85      0.29      1.02      0.05      1.22      1.12      0.57
     34.08      6.39      0.27      1.02      0.12      1.82      1.25      0.59
     25.17      8.72      0.21      1.08      0.15      1.09      1.20      0.56
     34.28      3.34      0.35      1.03      0.22      1.84      1.30      0.55
     31.93      4.81      0.37      0.71      0.24      1.80      1.07      0.58
     27.43      2.03      0.40      0.67      0.09      1.55      1.14      0.53
     39.91      4.50      0.34      0.62      0.10      1.56      1.24      0.56
     34.17      5.29      0.33      0.71      0.16      1.48      1.12      0.54
     26.18      6.64      0.34      0.78      0.22      1.27      1.13      0.57
     30.01      6.35      0.28      0.76      0.22      1.88      1.19      0.57
     36.49      4.18      0.21      1.06      0.14      1.92      1.20      0.55
     29.58      6.01      0.39      0.85      0.13      1.73      1.13      0.60
     34.07      8.30      0.39      1.07      0.14      1.12      1.08      0.57
     31.00      4.97      0.31      1.02      0.28      1.30      1.23      0.55
     28.31      4.45      0.32      0.96      0.25      1.35      1.20      0.53
     25.01      8.69      0.33      0.63      0.25      1.59      1.08      0.53
     39.67      3.28      0.31      0.84      0.20      1.99      1.13      0.59
     38.40      8.73      0.39      0.94      0.24      1.86      1.21      0.55
     26.13      8.25      0.39      1.08      0.22      1.02      1.24      0.54
     28.17      4.59      0.28      0.70      0.06      1.04      1.11      0.57
     38.45      8.70      0.23      0.87      0.21      1.56      1.24      0.54
     33.94      4.41      0.22      0.88      0.11      1.49      1.12      0.55
     33.97      4.62      0.21      0.60      0.09      1.34      1.29      0.55
     29.35      8.67      0.29      0.88      0.17      1.88      1.16      0.55
     31.76      4.64      0.21      0.72      0.15      1.10      1.16      0.53
     36.63      7.07      0.29      0.85      0.28      1.74      1.13      0.54
     37.91      3.29      0.22      0.85      0.18      1.12      1.21      0.54
     32.65      1.93      0.26      0.70      0.08      1.74      1.19      0.55
     35.42      8.57      0.25      0.63      0.15      1.99      1.27      0.60
     30.60      8.95      0.36      0.87      0.08      1.35      1.06      0.57
     30.39      7.16      0.23      1.06      0.09      1.63      1.15      0.55
     30.28      8.97      0.28      0.93      0.29      1.60      1.10      0.56
     37.56      5.32      0.32      0.79      0.09      1.77      1.25      0.57
     38.71      1.26      0.35      0.94      0.22      1.91      1.12      0.56
     34.85      4.07      0.37      0.92      0.11      1.67      1.06      0.58
     33.64      5.06      0.29      0.96      0.15      1.12      1.23      0.57
     26.26      3.96      0.22      0.77      0.13      1.03      1.09      0.55
     37.26      1.66      0.38      0.65      0.17      1.26      1.17      0.55
     30.07      6.12      0.22      0.65      0.19      1.92      1.06      0.60
     25.06      5.85      0.29      0.70      0.20      1.94      1.21      0.54
     25.16      7.91      0.37      0.85      0.22      1.42      1.12      0.55
     27.07      6.72      0.38      0.82      0.21      1.84      1.24      0.57
     26.02      3.11      0.29      0.69      0.16      1.23      1.11      0.57
     30.99      5.00      0.30      1.05      0.29      1.43      1.20      0.59
     36.84      7.81      0.29      1.05      0.16      1.90      1.22      0.54
     30.03      4.81      0.37      1.00      0.15      1.35      1.24      0.56
     30.96      7.25      0.22      0.81      0.18      1.74      1.25      0.55
     27.01      7.22      0.30      1.10      0.21      1.44      1.20      0.53
     31.44      2.95      0.28      1.04      0.15      1.98      1.29      0.59
     37.86      8.67      0.26      0.73      0.23      1.62      1.29      0.56
     36.90      4.40      0.37      0.93      0.29      1.83      1.15      0.59
     32.81      6.64      0.22      0.83      0.25      1.71      1.10      0.55
     30.34      1.36      0.22      0.60      0.27      1.69      1.22      0.60
     27.91      5.19      0.30      0.73      0.17      1.66      1.17      0.57
     34.96      7.56      0.33      1.03      0.26      1.74      1.08      0.56
     27.52      4.97      0.36      0.62      0.23      1.36      1.18      0.59
     33.50      6.93      0.31      0.75      0.23      1.91      1.10      0.56
     38.16      3.62      0.23      0.60      0.14      1.75      1.28      0.55
     25.04      4.55      0.39      0.78      0.08      1.87      1.22      0.57
     30.68      8.67      0.34      0.67      0.09      1.77      1.13      0.54
     34.08      6.29      0.26      0.78      0.25      1.56      1.07      0.59
     25.73      1.25      0.33      0.96      0.16      1.59      1.18      0.54
     25.57      7.49      0.25      0.68      0.19      1.58      1.22      0.55
     34.19      7.07      0.30      0.71      0.26      1.61      1.13      0.59
     36.83      6.93      0.25      0.96      0.15      1.40      1.23      0.56
     29.60      6.04      0.25      0.96      0.27      1.54      1.22      0.57
     32.73      4.76      0.37      1.03      0.26      1.62      1.11      0.56
     35.21      6.54      0.21      0.91      0.12      1.99      1.16      0.56
     38.03      2.57      0.25      0.61      0.22      1.06      1.21      0.60
     27.68      8.05      0.21      0.75      0.24      1.45      1.06      0.57
     26.61      4.34      0.30      0.79      0.29      1.65      1.10      0.59
     38.86      2.75      0.20      0.99      0.18      2.00      1.06      0.58
     25.47      5.67      0.39      0.87      0.26      1.14      1.30      0.54
     34.84      3.93      0.34      0.63      0.21      1.67      1.06      0.55
     27.95      6.77      0.36      0.90      0.17      1.29      1.24      0.58
     25.85      1.01      0.31      1.09      0.11      1.86      1.30      0.58
     30.62      5.34      0.22      0.95      0.11      1.91      1.16      0.58
     30.71      7.78      0.24      0.77      0.25      1.42      1.22      0.60
     37.48      6.18      0.33      0.72      0.22      1.66      1.09      0.56
     26.25      3.29      0.33      1.04      0.08      1.30      1.20      0.58
     32.65      8.32      0.36      1.04      0.25      1.84      1.18      0.57
     27.81      5.46      0.21      1.05      0.25      1.66      1.09      0.54
     25.49      7.77      0.23      0.99      0.25      1.95      1.27      0.58
     37.39      7.61      0.32      0.70      0.20      1.26      1.12      0.53
     38.96      1.44      0.25      0.61      0.22      1.13      1.29      0.60
     30.20      6.84      0.26      0.71      0.05      1.53      1.16      0.54
     38.60      6.66      0.29      0.97      0.26      1.42      1.27      0.58
     37.65      3.54      0.32      0.61      0.28      1.26      1.14      0.59
     34.01      3.01      0.26      0.67      0.15      1.63      1.11      0.57
     37.12      3.61      0.35      0.95      0.25      1.94      1.10      0.57
     27.39      6.44      0.25      1.01      0.12      1.86      1.07      0.60
     34.58      8.44      0.26      1.01      0.14      1.24      1.08      0.60
     34.80      4.17      0.26      0.75      0.17      1.52      1.27      0.58
     33.44      8.01      0.21      0.86      0.08      1.24      1.20      0.54
     29.30      6.39      0.37      0.89      0.06      1.89      1.26      0.59
     27.85      5.47      0.26      1.09      0.17      1.31      1.07      0.60
