 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     28.86      3.67      0.35      0.97      0.05      1.51      1.25      0.54
     34.17      3.84      0.26      1.10      0.25      1.13      1.25      0.59
     33.49      5.09      0.39      1.01      0.29      1.61      1.17      0.59
     27.37      5.07      0.39      0.66      0.15      1.60      1.24      0.58
     38.26      7.69      0.39      0.63      0.22      1.76      1.17      0.55
     37.65      4.22      0.20      1.08      0.07      1.16      1.10      0.58
     30.36      1.15      0.40      0.86      0.20      1.98      1.09      0.55
     38.53      2.40      0.27      1.09      0.12      1.88      1.20      0.54
     32.21      3.20      0.26      0.69      0.29      1.55      1.08      0.59
     35.74      3.42      0.20      0.79      0.24      1.12      1.10      0.58
     29.86      7.99      0.40      1.01      0.21      1.78      1.07      0.60
     28.01      6.19      0.34      1.02      0.09      1.50      1.30      0.58
     29.51      4.24      0.34      0.92      0.20      1.70      1.26      0.56
     33.38      5.91      0.31      1.09      0.14      1.51      1.11      0.53
     29.55      3.35      0.30      0.79      0.23      1.58      1.08      0.54
     34.53      6.04      0.37      0.87      0.13      1.94      1.27      0.56
     32.37      8.00      0.22      0.75      0.22      1.11      1.13      0.57
     35.99      4.64      0.32      0.62      0.07      1.97      1.22      0.58
     35.66      5.14      0.21      0.99      0.27      1.55      1.09      0.54
     32.24      1.32      0.34      0.76      0.12      1.51      1.19      0.55
     31.20      1.47      0.33      0.62      0.18      1.57      1.12      0.56
     29.68      7.15      0.27      0.65      0.15      1.76      1.30      0.55
     31.59      3.09      0.21      0.97      0.10      1.05      1.20      0.53
     34.60      4.68      0.20      0.87      0.10      1.71      1.18      0.59
     34.96      3.77      0.24      0.67      0.14      1.35      1.09      0.58
     33.53      1.01      0.25      1.07      0.19      1.16      1.08      0.57
     25.18      2.05      0.25      0.71      0.07      1.36      1.28      0.58
     32.11      6.05      0.28      0.85      0.21      1.35      1.12      0.55
     33.98      8.78      0.33      0.99      0.26      1.89      1.13      0.55
     33.74      3.69      0.31      0.74      0.21      1.21      1.16      0.54
     30.57      4.90      0.28      0.61      0.19      1.26      1.27      0.59
     26.32      3.00      0.23      0.88      0.13      1.63      1.10      0.56
     31.85      6.19      0.36      1.02      0.15      1.38      1.26      0.56
     39.11      1.69      0.28      1.08      0.28      1.24      1.06      0.54
     29.94      1.98      0.23      0.62      0.11      1.57      1.17      0.54
     34.02      7.78      0.37      0.76      0.19      1.54      1.11      0.56
     28.96      7.76      0.24      0.70      0.28      1.89      1.20      0.60
     27.95      2.26      0.28      0.99      0.25      1.16      1.12      0.54
     30.51      7.81      0.39      1.07      0.24      1.79      1.14      0.57
     39.70      2.02      0.29      1.05      0.25      1.88      1.26      0.58
     39.30      2.44      0.39      1.09      0.21      1.96      1.22      0.60
     29.98      3.59      0.38      0.94      0.06      1.20      1.29      0.55
     35.81      1.33      0.33      0.63      0.28      1.39      1.16      0.55
     34.72      3.14      0.29      0.98      0.23      1.36      1.25      0.60
     30.36      4.91      0.30      0.92      0.28      1.57      1.30      0.53
     39.11      7.26      0.36      1.04      0.17      1.13      1.24      0.55
     36.77      8.43      0.36      1.01      0.13      1.42      1.25      0.59
     39.89      8.72      0.36      0.99      0.22      1.15      1.10      0.54
     31.36      5.15      0.26      0.61      0.08      1.27      1.27      0.58
     28.38      5.69      0.27      0.99      0.16      1.30      1.24      0.56
     32.42      3.75      0.34      1.03      0.24      1.34      1.22      0.57
     27.03      8.02      0.24      0.66      0.24      1.09      1.30      0.58
     39.16      1.73      0.35      0.99      0.14      1.07      1.13      0.59
     35.40      4.56      0.22      0.82      0.15      1.62      1.17      0.54
     32.80      3.89      0.30      0.89      0.27      1.57      1.11      0.59
     29.36      1.39      0.22      0.70      0.26      1.04      1.11      0.57
     31.70      7.07      0.39      0.82      0.26      1.17      1.28      0.54
     33.44      1.90      0.31      0.83      0.27      1.51      1.18      0.57
     33.02      2.50      0.35      0.92      0.28      1.73      1.13      0.54
     25.35      7.87      0.22      0.82      0.27      1.41      1.19      0.56
     37.26      8.34      0.32      1.02      0.26      1.70      1.27      0.58
     36.86      7.89      0.37      0.60      0.08      1.98      1.28      0.54
     27.50      5.28      0.26      0.87      0.14      1.59      1.17      0.54
     28.73      7.33      0.28      0.95      0.06      1.42      1.26      0.54
     37.10      6.35      0.38      0.62      0.24      1.04      1.21      0.57
     29.14      6.91      0.23      0.84      0.30      1.87      1.29      0.54
     25.25      3.56      0.20      0.67      0.08      1.23      1.08      0.55
     38.72      1.98      0.40      0.92      0.19      1.71      1.28      0.59
     39.86      8.83      0.37      0.93      0.11      1.42      1.16      0.57
     27.69      6.61      0.29      1.03      0.19      1.38      1.07      0.57
     26.81      4.73      0.34      1.06      0.16      1.32      1.13      0.53
     32.31      7.86      0.35      0.77      0.21      1.14      1.28      0.59
     32.37      5.12      0.23      0.69      0.21      1.87      1.12      0.56
     26.78      6.89      0.29      0.61      0.14      1.42      1.19      0.57
     28.46      6.15      0.34      1.01      0.14      1.75      1.10      0.53
     26.52      7.44      0.25      0.65      0.05      1.46      1.13      0.54
     37.11      1.81      0.21      0.86      0.22      1.43      1.09      0.59
     32.20      3.14      0.36      0.74      0.16      1.84      1.15      0.59
     31.44      4.49      0.27      0.92      0.17      1.71      1.22      0.54
     29.03      1.22      0.34      0.87      0.20      1.89      1.20      0.54
     36.30      7.11      0.35      0.60      0.22      1.83      1.19      0.58
     37.27      8.48      0.34      0.82      0.08      1.15      1.17      0.54
     25.89      5.75      0.35      0.64      0.06      1.76      1.09      0.55
     26.82      3.88      0.21      1.09      0.09      1.79      1.23      0.59
     39.20      4.78      0.32      0.83      0.09      1.14      1.06      0.57
     31.20      4.22      0.33      0.92      0.28      1.71      1.26      0.58
     35.78      5.87      0.20      0.71      0.06      1.21      1.10      0.60
     37.76      5.11      0.24      0.64      0.06      1.92      1.27      0.59
     25.47      1.82      0.25      0.70      0.21      1.28      1.15      0.56
     37.50      1.30      0.24      1.02      0.28      1.41      1.24      0.59
     29.38      7.17      0.32      0.87      0.08      1.48      1.14      0.59
     27.23      2.47      0.27      0.65      0.11      1.99      1.15      0.59
     36.53      1.10      0.35      1.05      0.09      1.78      1.16      0.59
     25.48      7.22      0.37      0.65      0.07      1.57      1.28      0.56
     28.04      4.79      0.24      0.67      0.16      1.03      1.18      0.53
     36.94      7.77      0.22      0.61      0.08      1.82      1.16      0.55
     38.76      7.85      0.39      0.87      0.24      1.30      1.22      0.58
     36.63      5.55      0.22      0.89      0.26      1.82      1.16      0.59
     38.98      7.15      0.24      1.06      0.19      1.59      1.21      0.56
     37.32      4.22      0.28      0.72      0.23      1.81      1.17      0.59
     39.49      2.77      0.32      0.82      0.17      1.92      1.20      0.57
     38.84      8.84      0.21      0.71      0.14      1.64      1.24      0.58
     28.54      4.68      0.22      0.79      0.15      1.96      1.17      0.55
     32.91      8.31      0.31      0.82      0.17      1.42      1.26      0.55
     27.08      6.15      0.21      0.91      0.09      1.13      1.10      0.60
     33.67      1.55      0.37      0.80      0.29      1.74      1.13      0.54
     39.76      1.61      0.24      0.81      0.13      1.12      1.05      0.57
     35.46      1.55      0.27      0.72      0.18      1.97      1.07      0.55
     39.79      5.18      0.36      0.67      0.22      1.25      1.06      0.59
     32.90      7.18      0.24      0.68      0.21      1.33      1.28      0.54
     33.21      2.17      0.36      0.82      0.21      1.30      1.17      0.59
     30.28      8.28      0.31      0.68      0.23      1.51      1.12      0.55
     25.13      8.25      0.22      0.91      0.29      1.21      1.19      0.55
     37.35      8.46      0.38      0.62      0.30      1.64      1.13      0.55
     34.78      4.92      0.21      0.77      0.27      1.71      1.21      0.58
     32.00      5.57      0.37      0.70      0.11      1.78      1.14      0.56
     27.91      7.88      0.30      0.79      0.29      1.65      1.09      0.53
     37.42      5.72      0.38      0.96      0.09      1.74      1.26      0.58
     37.11      5.72      0.27      0.93      0.25      1.89      1.18      0.54
     25.69      3.60      0.21      1.00      0.18      1.82      1.12      0.54
     25.52      8.06      0.26      0.88      0.09      1.39      1.27      0.57
     28.87      8.39      0.23      0.97      0.29      1.68      1.10      0.58
     28.19      4.23      0.32      1.07      0.24      1.95      1.14      0.59
     28.81      8.49      0.23      0.99      0.24      1.11      1.24      0.54
     39.58      5.21      0.29      0.81      0.28      1.53      1.15      0.54
     37.71      5.91      0.31      0.84      0.21      1.86      1.28      0.55
     31.47      4.67      0.37      0.76      0.14      1.06      1.28      0.58
     28.55      3.32      0.23      1.06      0.06      1.26      1.18      0.59
     26.56      2.72      0.31      1.05      0.08      1.55      1.12      0.60
     38.56      5.21      0.38      0.87      0.21      1.60      1.20      0.57
     33.38      1.86      0.32      0.87      0.14      1.69      1.07      0.54
     31.45      4.80      0.36      0.80      0.13      1.94      1.06      0.55
     34.98      4.60      0.36      0.96      0.19      1.52      1.08      0.54
     35.08      1.21      0.39      0.67      0.29      1.20      1.26      0.59
     30.65      4.78      0.24      0.84      0.11      1.70      1.24      0.54
     32.14      7.66      0.38      0.97      0.14      1.08      1.23      0.55
     36.56      8.54      0.33      1.07      0.23      1.69      1.25      0.55
     38.36      4.72      0.27      0.91      0.11      1.54      1.08      0.55
     25.27      6.27      0.21      0.78      0.10      1.61      1.16      0.56
     27.09      2.52      0.37      1.07      0.20      1.66      1.21      0.55
     28.29      8.13      0.25      0.88      0.30      1.65      1.15      0.59
     37.30      8.08      0.21      0.67      0.10      1.27      1.26      0.58
     30.46      3.22      0.22      0.72      0.27      1.80      1.07      0.57
     29.41      8.79      0.40      0.89      0.14      1.31      1.05      0.55
     37.55      4.36      0.30      0.78      0.23      1.89      1.29      0.54
     39.08      2.74      0.38      0.85      0.17      2.00      1.08      0.58
     31.99      5.76      0.31      1.05      0.14      1.44      1.15      0.60
     26.28      5.90      0.28      1.02      0.19      1.20      1.15      0.56
     29.09      2.06      0.27      0.88      0.23      1.81      1.22      0.54
     26.74      4.89      0.30      0.74      0.08      1.79      1.25      0.59
     33.81      5.64      0.40      0.68      0.09      1.37      1.25      0.56
     30.17      6.81      0.24      0.84      0.22      2.00      1.10      0.54
     36.82      1.11      0.24      0.64      0.21      1.57      1.19      0.59
     27.22      1.52      0.28      0.79      0.13      1.55      1.11      0.60
     29.92      8.95      0.34      0.93      0.28      1.71      1.14      0.57
     29.50      7.22      0.37      1.07      0.11      1.71      1.27      0.58
     31.12      7.93      0.21      0.74      0.08      1.17      1.17      0.59
     36.02      7.72      0.35      0.63      0.28      1.78      1.21      0.60
     25.10      4.94      0.27      0.61      0.23      1.38      1.11      0.56
     25.88      1.70      0.35      0.65      0.13      1.32      1.05      0.56
     33.22      3.61      0.27      0.69      0.16      1.77      1.18      0.60
     29.63      4.22      0.37      0.75      0.24      1.46      1.15      0.56
     37.58      4.04      0.32      0.61      0.10      1.20      1.17      0.56
     39.46      8.04      0.28      0.73      0.21      1.18      1.20      0.54
     33.35      1.04      0.31      1.08      0.14      1.81      1.07      0.59
     28.13      5.81      0.27      0.69      0.16      1.51      1.30      0.56
     25.48      4.82      0.39      0.87      0.22      1.73      1.24      0.57
     33.37      8.67      0.29      0.60      0.11      1.64      1.06      0.56
     39.47      5.82      0.34      0.80      0.09      1.26      1.19      0.54
     33.72      1.94      0.32      0.66      0.30      1.30      1.29      0.57
     25.36      8.49      0.38      0.61      0.23      1.50      1.09      0.60
     37.34      5.79      0.28      0.92      0.28      1.28      1.18      0.59
     28.42      2.69      0.31      0.66      0.19      1.08      1.16      0.58
     28.14      7.00      0.25      1.08      0.08      1.98      1.28      0.59
     32.04      2.60      0.33      0.77      0.13      1.54      1.06      0.60
     37.38      5.57      0.28      0.95      0.27      1.28      1.13      0.60
     37.43      1.70      0.31      1.04      0.08      1.48      1.26      0.58
     32.46      7.52      0.39      0.86      0.25      1.16      1.12      0.55
     35.61      8.00      0.24      0.97      0.10      1.03      1.19      0.60
     26.93      3.65      0.28      0.74      0.14      1.98      1.19      0.58
     33.65      3.65      0.34      0.87      0.11      1.85      1.21      0.53
     39.38      4.29      0.28      0.92      0.06      1.87      1.16      0.60
     36.81      5.63      0.27      0.79      0.11      1.63      1.14      0.56
     35.85      4.51      0.39      0.71      0.30      1.19      1.14      0.54
     28.38      4.49      0.27      0.84      0.16      1.90      1.19      0.58
     33.68      1.09      0.32      0.69      0.22      1.88      1.17      0.53
     39.96      1.51      0.39      0.76      0.15      1.93      1.29      0.56
     31.89      2.52      0.31      0.84      0.28      1.06      1.10      0.59
     29.60      4.26      0.27      1.06      0.23      1.55      1.14      0.57
     39.64      7.28      0.30      0.79      0.18      1.96      1.20      0.55
     25.62      5.41      0.34      0.71      0.30      1.85      1.15      0.53
     38.81      4.99      0.32      0.95      0.26      1.77      1.24      0.53
     39.22      7.08      0.23      0.75      0.16      1.44      1.17      0.57
     30.17      5.51      0.26      1.01      0.10      1.20      1.10      0.56
     31.33      8.16      0.28      0.67      0.07      1.61      1.25      0.58
     37.85      7.05      0.22      0.63      0.19      1.96      1.16      0.60
     34.48      2.34      0.34      0.92      0.16      1.86      1.29      0.57
     25.21      1.03      0.28      0.98      0.07      1.10      1.25      0.58
     26.47      7.15      0.32      1.05      0.08      1.33      1.10      0.56
     27.79      4.56      0.31      0.84      0.20      1.87      1.28      0.57
     39.95      4.89      0.28      1.02      0.29      1.64      1.23      0.54
     35.68      4.22      0.32      1.07      0.28      1.95      1.14      0.60
     39.72      1.87      0.31      1.10      0.07      1.38      1.22      0.58
     31.99      1.10      0.20      0.74      0.17      1.87      1.07      0.59
     26.21      7.27      0.20      0.67      0.13      1.15      1.21      0.59
     34.00      7.84      0.33      0.85      0.27      1.35      1.13      0.54
     33.85      1.81      0.34      1.09      0.22      1.08      1.21      0.58
     31.71      8.79      0.39      0.78      0.15      1.49      1.29      0.54
     27.67      4.04      0.37      1.00      0.09      1.85      1.18      0.59
     32.00      4.28      0.24      0.74      0.18      1.20      1.12      0.58
     35.61      4.03      0.27      0.84      0.16      1.54      1.18      0.54
     29.42      2.61      0.28      1.03      0.23      1.09      1.24      0.55
     32.19      2.65      0.30      1.07      0.10      1.24      1.23      0.56
     38.34      3.12      0.33      1.01      0.09      1.57      1.29      0.54
     35.37      3.19      0.32      0.96      0.13      1.97      1.25      0.54
     31.93      7.76      0.28      0.89      0.06      1.59      1.15      0.56
     35.49      7.08      0.29      0.76      0.13      1.59      1.23      0.55
